YearStart,LocationAbbr,DataValue,Stratification1
2021,LA,256.9,"Black, non-Hispanic"
2021,IL,260.9,"White, non-Hispanic"
2021,IN,201.0,"Black, non-Hispanic"
2021,IN,45.9,"Asian, non-Hispanic"
2021,LA,65.4,Hispanic
2021,KY,54.7,"Asian, non-Hispanic"
2021,LA,92.2,"American Indian or Alaska Native, non-Hispanic"
2021,KS,208.0,"Black, non-Hispanic"
2021,LA,83.3,"Asian, non-Hispanic"
2021,ID,41.7,Hispanic
2021,ME,89.1,"Black, non-Hispanic"
2021,IL,52.9,Hispanic
2021,KS,255.4,"White, non-Hispanic"
2021,IA,275.1,"White, non-Hispanic"
2021,IA,129.5,"Black, non-Hispanic"
2021,KS,49.7,Hispanic
2021,IN,256.6,"White, non-Hispanic"
2021,MA,48.0,"Asian, non-Hispanic"
2021,MT,247.8,"White, non-Hispanic"
2021,MN,28.8,Hispanic
2021,MO,251.3,"Black, non-Hispanic"
2021,MS,264.0,"Black, non-Hispanic"
